name,email,joined_date,country,bet_status
amanda,amanda@test.com,9/26/2025,USA,active
kenneth,ken@test.com,3/19/2026,USA,completed
mary,mary@test.com,3/8/2026,Canada,active
Lara,lara@test.com,6/28/2025,Japan,completed
scott,scott@test.com,1/5/2026,Australia,active
David,david@example.com,9/20/2025,Australia,active
Alice,alice@example.com,3/15/2026,Australia,completed
Ivy,ivy@example.com,9/21/2025,India,completed
Henry,henry@example.com,6/4/2025,Singapore,completed
Queen,queen@example.com,11/22/2025,Japan,active
Cathy,cathy@example.com,9/19/2025,Germany,active
Leo,leo@example.com,7/18/2025,UK,active
Bob,bob@example.com,12/1/2025,Germany,completed
Kelly,kelly@example.com,6/23/2025,India,active
Ryan,ryan@example.com,12/11/2025,Canada,completed
Mia,mia@example.com,4/18/2026,Germany,active
Grace,grace@example.com,5/27/2026,Canada,active
Sophia,sophia@example.com,5/5/2026,Australia,completed
Paul,paul@example.com,7/11/2025,Australia,active
Noah,noah@example.com,12/12/2025,Japan,completed
